SA2 2011,SA2 2016,Weight
127011505,127011592,0.0159528
127011505,127011597,0.076323
127011506,127011505,0.0022909
127011506,127011506,0.9977091
127011507,127011593,0.2387015
127011507,127011594,0.4304338
127011507,127011595,0.3308648
127011508,127011596,0.4824832
127011508,127011597,0.5175168
127021509,127021509,1
127021510,127021510,1
127021511,127021511,1
127021512,127021512,1
127021513,127021513,1
127021514,127021514,1
127021515,127021515,1
127021516,127021516,1
127021517,127021517,1
127021518,127021518,1
127021519,127021519,1
127021520,127021520,1
127021521,127021521,1
127031522,127031522,1
127031523,127031523,1
127031524,127031524,1
127031525,127031598,0.8428999
127031525,127031601,0.1571001
127031526,127031599,0.4225925
127031526,127031600,0.5774075
128011527,128011602,0.4276967
128011527,128011603,0.4529873
128011527,128011605,0.1193161
128011528,128011604,0.7424978
128011528,128011606,0.2575022
128011529,128011529,1
128011530,128011530,1
128011531,128011531,1
128021532,128021607,0.6007282
128021532,128021608,0.2598348
128021532,128021609,0.139437
128021533,128021533,1
128021534,128021534,1
128021535,128021535,1
128021536,128021536,1
128021537,128021537,1
128021538,128021538,1
197979799,197979799,
199999499,199999499,1
201011001,201011001,1
201011002,201011002,1
201011003,201011003,1
201011004,201011004,1
201011005,201011005,1
201011006,201011006,1
201011007,201011007,1
201011008,201011008,1
201021009,201021009,1
201021010,201021010,1
201021011,201021011,1
201021012,201021012,1
201031013,201031013,1
201031014,201031014,1
201031015,201031015,1
201031016,201031016,1
201031017,201031017,1
202011018,202011018,1
202011019,202011019,1
202011020,202011020,1
202011021,202011021,1
202011022,202011022,1
202011023,202011022,0.0172767
202011023,202011023,0.9827233
202011024,202011024,1
202011025,202011025,1
202021026,202021026,1
202021027,202021027,1
202021028,202021028,1
202021029,202021029,1
202021030,202021030,1
202021031,202021031,1
202031032,202031032,1
202031033,202031033,1
203011034,203011034,1
203011035,203011035,1
203011036,203011036,1
203021037,203021037,1
203021038,203021038,1
203021039,203021039,1
203021040,203021040,1
203021041,203021041,1
203021042,203021042,1
203021043,203021043,1
203021044,203021044,1
203021045,203021045,1
203021046,203021046,1
203021047,203021047,1
203031048,203031048,1
203031049,203031049,1
203031050,203031050,1
203031051,203031051,1
203031052,203031052,0.9999998
203031053,203031053,1
204011054,204011054,1
204011055,204011055,1
204011056,204011056,1
204011057,204011057,1
204011058,204011058,1
204011059,204011059,1
204011060,204011060,0.9995389
204011060,204011062,0.0004611
204011061,204011061,1
204011062,204011062,1
204021063,204021063,1
204021064,204021064,1
204021065,204021065,1
204021066,204021066,1
204021067,204021067,1
204031068,204031068,1
204031069,204031069,1
204031070,204031070,1
204031071,204031071,1
204031072,204031072,1
204031073,204031073,1
204031074,204031074,1
204031075,204031075,1
205011076,205011076,1
205011077,205011077,1
205011078,205011078,1
205011079,205011079,1
205021080,205021080,1
205021081,205021081,1
205021082,205021082,1
205021083,205021083,1
205021084,205021082,0.000267
205021084,205021084,0.999733
205021085,205021085,1
205021086,205021086,0.9999998
205021086,205051100,0.0000002
205031087,205031087,1
205031088,205031088,1
205031089,205031089,1
205031090,205031090,1
205031091,205031091,1
205031092,205031092,1
205031093,205031093,1
205041094,205041094,1
205041095,205041095,1
205041096,205041096,1
205041097,205041097,1
205041098,205041098,1
205051099,205051099,1
205051100,205051100,1
205051101,205051101,1
205051102,205051102,1
205051103,205051103,1
205051104,205051104,1
206011105,206011105,1
206011106,206011106,1
206011107,206011107,0.9999999
206011107,206031114,0.0000001
206011108,206011108,1
206011109,206011109,1
206021110,206021110,1
206021111,206021111,1
206021112,206021112,1
206031113,206031113,1
206031114,206031114,1
206031115,206031115,1
206031116,206031116,1
206041117,206041117,1
206041118,206041118,0.9997488
